,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
61,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,0,2,2,2,1,0,2,2,1,2,1,1,1,1,1,1,2,1,1,2
62,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,0,2,2,2,1,0,2,2,2,2,1,1,1,1,1,1,2,1,2,2
63,1,1,1,1,1,2,1,0,1,1,1,1,2,1,2,2,1,1,1,0,2,2,2,1,0,2,2,2,2,1,2,1,1,1,1,2,1,1,2
64,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,0,2,1,2,1,0,2,1,1,2,1,1,1,1,1,1,2,1,2,2
65,1,1,1,1,1,2,1,0,1,1,1,1,2,1,2,2,1,1,1,0,2,2,2,1,0,1,1,2,1,1,2,1,1,2,2,1,1,1,2
66,1,1,1,1,2,2,1,0,1,1,1,2,1,1,1,2,1,1,1,0,1,1,2,1,0,1,2,1,2,1,2,1,1,1,1,1,1,1,1
67,1,1,2,1,2,1,1,0,1,1,1,1,1,1,1,2,1,1,1,0,2,2,2,1,0,2,2,1,2,1,2,1,1,1,2,2,2,1,2
68,1,1,1,1,1,2,1,0,1,1,1,2,2,1,2,2,1,1,2,0,2,2,2,1,0,2,2,1,2,1,2,1,1,1,1,2,1,1,2
69,1,1,2,2,2,1,2,0,1,2,1,2,2,1,2,2,1,1,1,0,2,2,2,1,0,2,1,2,2,1,1,1,1,1,1,2,1,2,2
70,1,1,1,2,2,2,2,0,1,1,1,1,2,1,2,2,1,1,1,0,2,2,2,1,0,2,2,2,2,1,2,1,1,2,2,2,1,2,2
71,1,1,1,1,2,2,2,0,1,1,1,1,2,1,2,2,1,1,1,0,2,2,2,1,0,2,2,2,2,1,2,1,1,2,1,2,1,2,2
72,1,1,1,2,2,2,2,0,1,1,1,1,2,1,1,2,1,1,1,0,2,2,2,1,0,2,2,2,2,1,2,1,1,2,2,2,1,2,2
73,1,1,2,1,2,2,2,0,1,1,1,1,2,1,2,2,1,1,1,0,2,2,2,1,0,2,2,2,2,1,2,1,1,2,2,2,1,1,2
74,1,1,1,2,2,2,2,0,2,1,1,2,2,1,2,2,1,1,1,0,2,2,2,1,0,2,2,2,2,1,2,1,1,2,2,2,2,2,2
75,1,1,1,1,2,2,2,0,2,1,1,2,2,1,2,2,1,2,2,0,2,2,2,1,0,2,2,2,2,1,2,2,1,2,1,2,1,2,2
76,1,1,1,2,2,2,2,0,1,1,1,1,2,1,2,2,1,1,1,0,2,2,2,1,0,2,2,2,2,1,2,1,1,2,2,2,1,1,2
