"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52"
"GERBIDO",5.31776556776557,25.4177655677656,-6.2489010989011,5.91776556776557,-8.68223443223443,-6.653663003663,8.06062271062272,2.77490842490842,-0.225091575091572,3.06062271062272,31.0606227106227,24.4891941391941,-4.68223443223443,6.06062271062272,-0.367948717948714,-6.51080586080586,-9.79652014652014,-20.5108058608059,-6.51080586080586,-12.7965201465201,-5.36794871794871,-15.7965201465201,-7.08223443223443,-4.88223443223443,-7.36794871794871,-7.51080586080586,-6.48223443223443,-15.2822344322344,-4.7489010989011,-14.9393772893773,-12.653663003663,-9.93937728937729,-16.3679487179487,-12.3679487179487,-5.08223443223443,-9.51080586080586,-7.79652014652014,5.25109890109891,7.48919413919414,5.346336996337,17.346336996337,13.2510989010989,-2.51080586080586,33.9177655677656,6.346336996337,-7.08223443223443,17.2034798534799,22.6320512820513,-9.08223443223443,16.7749084249084,6.91776556776557,0.203479853479855
"GIORDANI-FARNESE",4.58379120879121,19.5837912087912,-2.70192307692308,0.298076923076923,-2.55906593406593,-7.27335164835165,8.01236263736264,1.01236263736264,-3.41620879120879,2.41712454212454,22.1552197802198,18.7266483516484,-5.41620879120879,4.86950549450549,0.440934065934066,-6.55906593406593,-13.4162087912088,-19.1304945054945,-8.24954212454212,-5.41620879120879,-3.84478021978022,-12.2733516483516,-3.84478021978022,-6.98763736263736,-7.98763736263736,-8.58287545787546,-8.66620879120879,-13.6662087912088,-11.2733516483516,-15.9876373626374,-14.5590659340659,-10.7019230769231,-16.1304945054945,-11.0828754578755,-5.13049450549451,-8.98763736263736,-4.91620879120879,6.58379120879121,7.58379120879121,6.91712454212454,20.8695054945055,12.1552197802198,-1.84478021978022,37.4409340659341,6.29807692307692,-6.84478021978022,20.2980769230769,24.5837912087912,-6.13049450549451,17.4409340659341,9.58379120879121,1.72664835164835
"CORTE BRUGNATELLA",-5.11840659340659,-3.83269230769231,-6.68983516483516,-4.97554945054945,-4.11840659340659,-6.97554945054945,-2.83269230769231,-2.97554945054945,-5.83269230769231,3.73873626373626,15.453021978022,6.88159340659341,7.28159340659341,6.73873626373626,6.73873626373626,-2.26126373626374,-1.83269230769231,-5.97554945054945,-1.68983516483516,-2.68983516483516,4.88159340659341,-0.832692307692307,2.88159340659341,5.45302197802198,3.45302197802198,1.59587912087912,1.16730769230769,-2.97554945054945,3.38159340659341,-3.78507326007326,-2.71840659340659,-0.618406593406593,-1.97554945054945,0.453021978021978,3.88159340659341,2.02445054945055,-0.40412087912088,7.45302197802198,7.04826007326007,0.738736263736264,0.167307692307693,0.0244505494505489,0.167307692307693,10.453021978022,-4.83269230769231,-6.68983516483516,3.31016483516484,-4.54697802197802,-6.54697802197802,-1.97554945054945,-4.54697802197802,-5.11840659340659
"PARCO RESISTENZA",17.0240842490842,15.93836996337,4.65265567765568,0.938369963369965,-1.34734432234432,-5.49020146520146,8.39075091575092,6.65265567765568,-5.91877289377289,4.93836996336996,13.8907509157509,13.2240842490842,-3.27591575091575,4.50979853479853,-1.77591575091575,-8.20448717948718,-5.06163003663004,-10.2044871794872,-7.91877289377289,-9.77591575091575,-5.44258241758242,-8.49020146520146,-7.49020146520146,-3.20448717948718,-8.34734432234432,-7.06163003663004,-6.49020146520146,-11.3473443223443,-6.34734432234432,-7.63305860805861,-11.2044871794872,-8.06163003663004,-10.7759157509158,-7.06163003663004,-5.49020146520146,-4.77591575091575,-7.63305860805861,0.0812271062271073,-3.10924908424908,-0.490201465201466,5.22408424908425,5.22408424908425,-4.06163003663004,14.3669413919414,-0.609249084249083,-1.77591575091575,17.3669413919414,17.7955128205128,2.55741758241758,18.2240842490842,21.5097985347985,3.36694139194139
"ROMA",16.1657509157509,16.5943223443223,5.88003663003663,-0.334249084249084,-2.97710622710623,-2.50091575091575,11.0228937728938,10.5943223443223,-9.11996336996337,4.73717948717949,29.8324175824176,17.0228937728938,-4.83424908424908,4.30860805860806,-3.26282051282051,-10.4056776556777,-3.5485347985348,-12.6913919413919,-9.40567765567766,-12.4056776556777,-6.11996336996337,-11.8342490842491,-7.11996336996337,-3.26282051282051,-7.40567765567766,-7.26282051282051,-4.83424908424908,-12.4056776556777,-6.69139194139194,-8.97710622710623,-13.4056776556777,-9.11996336996337,-8.83424908424908,-8.83424908424908,-7.11996336996337,-6.69139194139194,-9.26282051282051,-0.405677655677657,-6.5485347985348,1.83241758241758,6.73717948717949,3.88003663003663,-4.97710622710623,12.3086080586081,-0.334249084249084,-0.262820512820511,16.1657509157509,25.1657509157509,1.59432234432234,15.7371794871795,23.3086080586081,0.308608058608058
"FRANCHINI-ANGELONI",14.2320512820513,16.2320512820513,5.08919413919414,-2.62509157509157,-1.33937728937729,-4.76794871794872,7.37490842490843,7.946336996337,-8.16794871794872,4.80347985347986,23.8034798534799,19.8034798534799,-3.62509157509157,2.80347985347986,-1.48223443223443,-8.62509157509157,-5.76794871794872,-10.7679487179487,-8.19652014652014,-11.053663003663,-4.76794871794872,-10.7679487179487,-6.26794871794872,-5.33937728937729,-7.19652014652014,-5.62509157509157,-3.48223443223443,-10.6250915750916,-6.053663003663,-7.48223443223443,-10.053663003663,-6.76794871794872,-7.48223443223443,-7.48223443223443,-6.62509157509157,-5.33937728937729,-7.053663003663,2.80347985347986,-5.43461538461538,-0.196520146520143,2.51776556776557,5.08919413919414,-4.33937728937729,13.5177655677656,0.0891941391941415,-4.053663003663,16.0891941391941,17.6606227106227,4.73205128205128,10.5177655677656,22.0891941391941,1.66062271062271
"SAVIGNANO",17.7237179487179,28.6380036630037,6.92371794871795,0.638003663003666,-4.36199633699633,-7.57628205128205,9.63800366300367,12.7808608058608,-5.64771062271062,7.0665750915751,37.923717948718,32.923717948718,-1.36199633699633,7.63800366300367,-1.64771062271062,-12.5048534798535,-4.50485347985348,-15.3619963369963,-10.5048534798535,-14.5048534798535,-7.79056776556776,-13.576282051282,-6.79056776556776,-4.07628205128205,-10.9334249084249,-8.21913919413919,-8.07628205128205,-15.6477106227106,-9.07628205128205,-12.3619963369963,-15.3619963369963,-10.3619963369963,-10.6477106227106,-11.7905677655678,-10.9334249084249,-11.076282051282,-10.3619963369963,0.42371794871795,-7.74294871794872,0.209432234432235,5.63800366300367,7.0665750915751,7.42371794871795,26.0903846153846,-6.07628205128205,-6.64771062271062,16.923717948718,17.0665750915751,-0.409615384615382,14.4951465201465,20.923717948718,-2.21913919413919
"SAVIGNANO DI RIGO",0.922069597069598,2.23635531135531,-4.31126373626374,-6.62078754578754,-1.90650183150183,-6.90650183150183,-2.04935897435897,1.35540293040293,-5.04935897435897,5.5220695970696,20.5220695970696,3.68873626373626,0.379212454212455,6.23635531135531,3.95064102564103,-4.19221611721612,0.807783882783884,-6.4779304029304,-1.76364468864469,-4.19221611721612,3.37921245421246,-3.9779304029304,4.80778388278388,2.37921245421246,-0.477930402930403,-0.620787545787545,2.66492673992674,-4.4779304029304,-0.33507326007326,-2.04935897435897,-4.33507326007326,-0.763644688644689,-1.90650183150183,-1.4779304029304,-1.76364468864469,1.23635531135531,-1.76364468864469,1.09349816849817,-1.64459706959707,1.95064102564103,4.5220695970696,5.37921245421246,-0.192216117216116,11.950641025641,-4.62078754578755,-3.76364468864469,3.80778388278388,2.5220695970696,-5.81126373626374,-2.62078754578755,-1.19221611721612,-4.04935897435897
"DE AMICIS",13.3738095238095,13.7452380952381,5.17380952380952,-1.54047619047619,-3.54047619047619,-5.39761904761905,8.45952380952381,7.45952380952381,-5.54047619047619,4.7452380952381,21.602380952381,15.8880952380952,-2.96904761904762,3.67380952380952,-0.111904761904761,-8.11190476190476,-6.11190476190476,-11.1119047619048,-8.82619047619048,-10.397619047619,-5.11190476190476,-9.82619047619048,-7.96904761904762,-5.39761904761905,-7.54047619047619,-6.68333333333333,-6.96904761904762,-10.9690476190476,-7.54047619047619,-9.11190476190476,-10.397619047619,-9.39761904761905,-9.11190476190476,-9.54047619047619,-5.68333333333333,-6.39761904761905,-4.15952380952381,0.459523809523809,-4.82619047619048,7.34047619047619,14.1738095238095,5.17380952380952,-1.96904761904762,12.7452380952381,-2.11190476190476,-1.96904761904762,18.3166666666667,18.602380952381,-0.969047619047618,15.602380952381,18.1738095238095,2.60238095238095
"PORTA SAN FELICE",17.1464285714286,14.7178571428571,4.86071428571429,-3.71071428571429,-1.99642857142857,-5.56785714285714,6.71785714285715,5.43214285714286,-9.13928571428571,2.43214285714286,22.2892857142857,18.7178571428571,-2.56785714285714,3.71785714285715,-2.28214285714285,-9.56785714285714,-5.99642857142857,-12.9964285714286,-10.425,-14.1392857142857,-5.13928571428571,-12.7107142857143,-10.3535714285714,-6.5202380952381,-6.45357142857143,-6.85357142857143,-13.8535714285714,-7.56785714285714,-9.28214285714286,-11.425,-8.425,-10.9964285714286,-11.1392857142857,-6.13928571428571,-6.28214285714285,-5.71071428571429,6.81309523809524,-3.71071428571429,-1.71071428571429,20.575,7.43214285714286,-0.653571428571428,18.1464285714286,-3.13928571428571,-3.85357142857143,15.575,21.2892857142857,-0.99642857142857,14.2892857142857,20.4321428571429,3.575,7.14642857142857
"SAN PIETRO CAPOFIUME",15.1562271062271,14.81336996337,3.52765567765568,-0.0437728937728927,-3.75805860805861,-6.47234432234432,4.95622710622711,1.81336996336996,-5.90091575091575,1.24194139194139,28.3847985347985,17.3847985347985,-2.18663003663004,3.81336996336996,-4.18663003663004,-7.90091575091575,-4.32948717948718,-9.32948717948718,-6.61520146520146,-11.18663003663,-3.75805860805861,-9.75805860805861,-2.47234432234432,0.813369963369965,-0.615201465201466,-5.47234432234432,-6.32948717948718,-12.9009157509158,-5.04377289377289,-7.75805860805861,-11.2104395604396,-6.44377289377289,-8.32948717948718,-8.61520146520146,-6.47234432234432,-7.90091575091575,-10.0437728937729,0.670512820512823,-3.04377289377289,-2.61520146520147,10.4562271062271,5.24194139194139,-0.186630036630035,29.2419413919414,-0.329487179487177,-5.04377289377289,11.0990842490843,15.6705128205128,-6.90091575091575,15.0990842490843,12.81336996337,0.956227106227107
"VIA CHIARINI",17.2961080586081,12.2675366300366,3.26753663003663,-4.44674908424908,-3.01817765567766,-7.1610347985348,6.69610805860806,5.26753663003663,-8.01817765567766,2.41039377289377,20.5532509157509,14.6961080586081,-1.58960622710623,3.12467948717948,-0.503891941391942,-10.3038919413919,-4.30389194139194,-10.0181776556777,-9.44674908424908,-12.0181776556777,-3.1610347985348,-10.7324633699634,-5.58960622710623,1.12467948717948,-5.73246336996337,-4.44674908424908,-4.1610347985348,-9.10389194139194,-6.87532051282051,-6.01817765567766,-8.58960622710623,-7.1610347985348,-8.73246336996337,-9.58960622710623,-6.01817765567766,-6.01817765567766,-8.58960622710623,5.8389652014652,-5.58960622710623,-2.73246336996337,20.9818223443223,6.26753663003663,-4.05389194139194,17.3627747252747,-4.87532051282052,-5.44674908424908,14.9818223443223,18.8389652014652,-2.73246336996337,15.1246794871795,16.9818223443223,3.69610805860806
