"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52"
"PARCO EDILCARANI",37.4,34.4285714285714,27.7142857142857,18.1428571428571,23,19,30.7142857142857,31.5714285714286,18.1428571428571,23.1428571428571,35.4,37.6,21.5714285714286,28.2857142857143,20.2857142857143,13,18,9.71428571428571,13.4285714285714,9.71428571428571,21,11.1428571428571,15.7142857142857,18.3333333333333,16,16,16,10,15.5,12.7142857142857,12.5714285714286,12,12.2857142857143,12.4285714285714,17.8333333333333,14.7142857142857,14.7142857142857,34,23.1428571428571,21.7142857142857,49.5714285714286,36,18.8571428571429,42.1428571428571,24.8571428571429,21.5714285714286,40.5714285714286,49.7142857142857,23.7142857142857,41.8571428571429,42.1428571428571,30.4285714285714
"LUGAGNANO",27,37,22.1428571428571,21.1428571428571,24,17.8571428571429,29.5714285714286,24.1428571428571,19.7142857142857,24.4285714285714,35.4285714285714,28.8571428571429,18,24.4285714285714,22.5714285714286,12.5714285714286,12.5714285714286,7.57142857142857,12.1428571428571,10.7142857142857,14.8571428571429,9.14285714285714,13.5714285714286,17.1428571428571,14.7142857142857,13.4285714285714,13.1428571428571,10,14.4285714285714,10.2857142857143,10.7142857142857,14.2857142857143,10.8571428571429,12.8571428571429,17.1428571428571,13.7142857142857,13,22.8333333333333,22.8571428571429,18,27.8571428571429,25.4285714285714,16.8571428571429,37.1428571428571,19.1428571428571,15,38.1428571428571,36.1428571428571,19.2857142857143,35.2857142857143,29.4285714285714,28.5714285714286
"CENO",38.2,52.2857142857143,30,35.1428571428571,28.2857142857143,24.4,48.4,33.4285714285714,30.4285714285714,33,56.8571428571429,53.2857142857143,27.1666666666667,34.1428571428571,31.4285714285714,20,18.1428571428571,10.8571428571429,21.5714285714286,15.2857142857143,22.5714285714286,15.1428571428571,23.5714285714286,28.2857142857143,21.1428571428571,22.5714285714286,19.8571428571429,16.8571428571429,22.5714285714286,16.8571428571429,18.4285714285714,21.2857142857143,14.7142857142857,19.2857142857143,26,22.4285714285714,23.25,34.8571428571429,37.7142857142857,35.6666666666667,47.7142857142857,39.8571428571429,27.1428571428571,63.1428571428571,38.3333333333333,24,48.5714285714286,53.5714285714286,22.1428571428571,48.5714285714286,37.5714285714286,31
"GERBIDO",37.4,57.5,25.8333333333333,38,23.4,25.4285714285714,40.1428571428571,34.8571428571429,31.8571428571429,35.1428571428571,63.1428571428571,56.5714285714286,27.4,38.1428571428571,31.7142857142857,25.5714285714286,22.2857142857143,11.5714285714286,25.5714285714286,19.2857142857143,26.7142857142857,16.2857142857143,25,27.2,24.7142857142857,24.5714285714286,25.6,16.8,27.3333333333333,17.1428571428571,19.4285714285714,22.1428571428571,15.7142857142857,19.7142857142857,27,22.5714285714286,24.2857142857143,37.3333333333333,39.5714285714286,37.4285714285714,49.4285714285714,45.3333333333333,29.5714285714286,66,38.4285714285714,25,49.2857142857143,54.7142857142857,23,48.8571428571429,39,32.2857142857143
"GIORDANI-FARNESE",33,48,25.7142857142857,28.7142857142857,25.8571428571429,21.1428571428571,36.4285714285714,29.4285714285714,25,30.8333333333333,50.5714285714286,47.1428571428571,23,33.2857142857143,28.8571428571429,21.8571428571429,15,9.28571428571429,20.1666666666667,23,24.5714285714286,16.1428571428571,24.5714285714286,21.4285714285714,20.4285714285714,19.8333333333333,19.75,14.75,17.1428571428571,12.4285714285714,13.8571428571429,17.7142857142857,12.2857142857143,17.3333333333333,23.2857142857143,19.4285714285714,23.5,35,36,35.3333333333333,49.2857142857143,40.5714285714286,26.5714285714286,65.8571428571429,34.7142857142857,21.5714285714286,48.7142857142857,53,22.2857142857143,45.8571428571429,38,30.1428571428571
"CORTE BRUGNATELLA",4,5.28571428571429,2.42857142857143,4.14285714285714,5,2.14285714285714,6.28571428571429,6.14285714285714,3.28571428571429,12.8571428571429,24.5714285714286,16,16.4,15.8571428571429,15.8571428571429,6.85714285714286,7.28571428571429,3.14285714285714,7.42857142857143,6.42857142857143,14,8.28571428571429,12,14.5714285714286,12.5714285714286,10.7142857142857,10.2857142857143,6.14285714285714,12.5,5.33333333333333,6.4,8.5,7.14285714285714,9.57142857142857,13,11.1428571428571,8.71428571428571,16.5714285714286,16.1666666666667,9.85714285714286,9.28571428571429,9.14285714285714,9.28571428571429,19.5714285714286,4.28571428571429,2.42857142857143,12.4285714285714,4.57142857142857,2.57142857142857,7.14285714285714,4.57142857142857,4
"PARCO RESISTENZA",36.8,35.7142857142857,24.4285714285714,20.7142857142857,18.4285714285714,14.2857142857143,28.1666666666667,26.4285714285714,13.8571428571429,24.7142857142857,33.6666666666667,33,16.5,24.2857142857143,18,11.5714285714286,14.7142857142857,9.57142857142857,11.8571428571429,10,14.3333333333333,11.2857142857143,12.2857142857143,16.5714285714286,11.4285714285714,12.7142857142857,13.2857142857143,8.42857142857143,13.4285714285714,12.1428571428571,8.57142857142857,11.7142857142857,9,12.7142857142857,14.2857142857143,15,12.1428571428571,19.8571428571429,16.6666666666667,19.2857142857143,25,25,15.7142857142857,34.1428571428571,19.1666666666667,18,37.1428571428571,37.5714285714286,22.3333333333333,38,41.2857142857143,23.1428571428571
"ROMA",40,40.4285714285714,29.7142857142857,23.5,20.8571428571429,21.3333333333333,34.8571428571429,34.4285714285714,14.7142857142857,28.5714285714286,53.6666666666667,40.8571428571429,19,28.1428571428571,20.5714285714286,13.4285714285714,20.2857142857143,11.1428571428571,14.4285714285714,11.4285714285714,17.7142857142857,12,16.7142857142857,20.5714285714286,16.4285714285714,16.5714285714286,19,11.4285714285714,17.1428571428571,14.8571428571429,10.4285714285714,14.7142857142857,15,15,16.7142857142857,17.1428571428571,14.5714285714286,23.4285714285714,17.2857142857143,25.6666666666667,30.5714285714286,27.7142857142857,18.8571428571429,36.1428571428571,23.5,23.5714285714286,40,49,25.4285714285714,39.5714285714286,47.1428571428571,24.1428571428571
"FRANCHINI-ANGELONI",36,38,26.8571428571429,19.1428571428571,20.4285714285714,17,29.1428571428571,29.7142857142857,13.6,26.5714285714286,45.5714285714286,41.5714285714286,18.1428571428571,24.5714285714286,20.2857142857143,13.1428571428571,16,11,13.5714285714286,10.7142857142857,17,11,15.5,16.4285714285714,14.5714285714286,16.1428571428571,18.2857142857143,11.1428571428571,15.7142857142857,14.2857142857143,11.7142857142857,15,14.2857142857143,14.2857142857143,15.1428571428571,16.4285714285714,14.7142857142857,24.5714285714286,16.3333333333333,21.5714285714286,24.2857142857143,26.8571428571429,17.4285714285714,35.2857142857143,21.8571428571429,17.7142857142857,37.8571428571429,39.4285714285714,26.5,32.2857142857143,43.8571428571429,23.4285714285714
"SAVIGNANO",46.8,57.7142857142857,36,29.7142857142857,24.7142857142857,21.5,38.7142857142857,41.8571428571429,23.4285714285714,36.1428571428571,67,62,27.7142857142857,36.7142857142857,27.4285714285714,16.5714285714286,24.5714285714286,13.7142857142857,18.5714285714286,14.5714285714286,21.2857142857143,15.5,22.2857142857143,25,18.1428571428571,20.8571428571429,21,13.4285714285714,20,16.7142857142857,13.7142857142857,18.7142857142857,18.4285714285714,17.2857142857143,18.1428571428571,18,18.7142857142857,29.5,21.3333333333333,29.2857142857143,34.7142857142857,36.1428571428571,36.5,55.1666666666667,23,22.4285714285714,46,46.1428571428571,28.6666666666667,43.5714285714286,50,26.8571428571429
"SAVIGNANO DI RIGO",11.4,12.7142857142857,6.16666666666667,3.85714285714286,8.57142857142857,3.57142857142857,8.42857142857143,11.8333333333333,5.42857142857143,16,31,14.1666666666667,10.8571428571429,16.7142857142857,14.4285714285714,6.28571428571429,11.2857142857143,4,8.71428571428571,6.28571428571429,13.8571428571429,6.5,15.2857142857143,12.8571428571429,10,9.85714285714286,13.1428571428571,6,10.1428571428571,8.42857142857143,6.14285714285714,9.71428571428571,8.57142857142857,9,8.71428571428571,11.7142857142857,8.71428571428571,11.5714285714286,8.83333333333333,12.4285714285714,15,15.8571428571429,10.2857142857143,22.4285714285714,5.85714285714286,6.71428571428571,14.2857142857143,13,4.66666666666667,7.85714285714286,9.28571428571429,6.42857142857143
"DE AMICIS",34.2,34.5714285714286,26,19.2857142857143,17.2857142857143,15.4285714285714,29.2857142857143,28.2857142857143,15.2857142857143,25.5714285714286,42.4285714285714,36.7142857142857,17.8571428571429,24.5,20.7142857142857,12.7142857142857,14.7142857142857,9.71428571428571,12,10.4285714285714,15.7142857142857,11,12.8571428571429,15.4285714285714,13.2857142857143,14.1428571428571,13.8571428571429,9.85714285714286,13.2857142857143,11.7142857142857,10.4285714285714,11.4285714285714,11.7142857142857,11.2857142857143,15.1428571428571,14.4285714285714,16.6666666666667,21.2857142857143,16,28.1666666666667,35,26,18.8571428571429,33.5714285714286,18.7142857142857,18.8571428571429,39.1428571428571,39.4285714285714,19.8571428571429,36.4285714285714,39,23.4285714285714
"PORTA SAN FELICE",42,39.5714285714286,29.7142857142857,21.1428571428571,22.8571428571429,19.2857142857143,31.5714285714286,30.2857142857143,15.7142857142857,27.2857142857143,47.1428571428571,43.5714285714286,22.2857142857143,28.5714285714286,22.5714285714286,15.2857142857143,18.8571428571429,11.8571428571429,14.4285714285714,10.7142857142857,19.7142857142857,12.1428571428571,14.5,18.3333333333333,18.4,18,11,17.2857142857143,15.5714285714286,13.4285714285714,16.4285714285714,13.8571428571429,13.7142857142857,18.7142857142857,18.5714285714286,19.1428571428571,31.6666666666667,21.1428571428571,23.1428571428571,45.4285714285714,32.2857142857143,24.2,43,21.7142857142857,21,40.4285714285714,46.1428571428571,23.8571428571429,39.1428571428571,45.2857142857143,28.4285714285714,32
"SAN PIETRO CAPOFIUME",36.2,35.8571428571429,24.5714285714286,21,17.2857142857143,14.5714285714286,26,22.8571428571429,15.1428571428571,22.2857142857143,49.4285714285714,38.4285714285714,18.8571428571429,24.8571428571429,16.8571428571429,13.1428571428571,16.7142857142857,11.7142857142857,14.4285714285714,9.85714285714286,17.2857142857143,11.2857142857143,18.5714285714286,21.8571428571429,20.4285714285714,15.5714285714286,14.7142857142857,8.14285714285714,16,13.2857142857143,9.83333333333333,14.6,12.7142857142857,12.4285714285714,14.5714285714286,13.1428571428571,11,21.7142857142857,18,18.4285714285714,31.5,26.2857142857143,20.8571428571429,50.2857142857143,20.7142857142857,16,32.1428571428571,36.7142857142857,14.1428571428571,36.1428571428571,33.8571428571429,22
"VIA CHIARINI",39.6,34.5714285714286,25.5714285714286,17.8571428571429,19.2857142857143,15.1428571428571,29,27.5714285714286,14.2857142857143,24.7142857142857,42.8571428571429,37,20.7142857142857,25.4285714285714,21.8,12,18,12.2857142857143,12.8571428571429,10.2857142857143,19.1428571428571,11.5714285714286,16.7142857142857,23.4285714285714,16.5714285714286,17.8571428571429,18.1428571428571,13.2,15.4285714285714,16.2857142857143,13.7142857142857,15.1428571428571,13.5714285714286,12.7142857142857,16.2857142857143,16.2857142857143,13.7142857142857,28.1428571428571,16.7142857142857,19.5714285714286,43.2857142857143,28.5714285714286,18.25,39.6666666666667,17.4285714285714,16.8571428571429,37.2857142857143,41.1428571428571,19.5714285714286,37.4285714285714,39.2857142857143,26
"ISONZO",26,53.4285714285714,33,33,24.5714285714286,21.7142857142857,34,30.8571428571429,27.1428571428571,29.5,59.7142857142857,49,24.4285714285714,30.8571428571429,20.5714285714286,17,18.7142857142857,17.2857142857143,16.7142857142857,13.1428571428571,20,20.4,21.5714285714286,22,18.8571428571429,16.5714285714286,15.5714285714286,12.3333333333333,17.1666666666667,15.5714285714286,14.8571428571429,17.6,15.5,16.4285714285714,17.1428571428571,19.2857142857143,15.7142857142857,42,26.4,30,43.8571428571429,39.7142857142857,22,61.1428571428571,30.5714285714286,24.4285714285714,43.2857142857143,45.4285714285714,18.2857142857143,44.5714285714286,41.8571428571429,30.8571428571429
"GHERARDI",36.8,44.1428571428571,30,25.2857142857143,17.5714285714286,18.3333333333333,26.5,23.5714285714286,20.4285714285714,24.4285714285714,51,48,20.2857142857143,27.8333333333333,16.3333333333333,14.5714285714286,15.4,16,15.4,12.2857142857143,19.1428571428571,15.4285714285714,22.1428571428571,24.2857142857143,17,19.1428571428571,15.7142857142857,11.6666666666667,17.7142857142857,14.8571428571429,14,17.8571428571429,16,16.5714285714286,18.2857142857143,17,15.7142857142857,24,22.1428571428571,23.1428571428571,36,25.4285714285714,25.1428571428571,58.5714285714286,29.4285714285714,17.1428571428571,33.2857142857143,37.4285714285714,14.4285714285714,36.4285714285714,33.8571428571429,27.7142857142857
"CENTO",38.6,40.7142857142857,26.7142857142857,24.7142857142857,19.5714285714286,15.5714285714286,27.8571428571429,24.8571428571429,18.5714285714286,25.5714285714286,53.8333333333333,39.8571428571429,19.7142857142857,26.5714285714286,19.5714285714286,16.4,19.7142857142857,11.5714285714286,15.4285714285714,11.1428571428571,20.8571428571429,11.7142857142857,19.5714285714286,27.75,20,16.8571428571429,15.8571428571429,9.71428571428571,18.7142857142857,12.8571428571429,11.8571428571429,13.6666666666667,12,14.1428571428571,18.4285714285714,14.5714285714286,15.5,27.1428571428571,23.4,23.1428571428571,38,34.5714285714286,23,59.1428571428571,20.1428571428571,18.1428571428571,40,42.5714285714286,16.2857142857143,46,36.7142857142857,26
"VILLA FULVIA",40.2,50,29,28.4285714285714,21,18.2857142857143,30.2857142857143,27.7142857142857,22.1428571428571,26.6666666666667,56.8571428571429,43.7142857142857,12.75,34.6666666666667,19.5714285714286,14,15.2857142857143,14.4285714285714,14.4285714285714,11.2857142857143,17.1428571428571,15.2857142857143,20.7142857142857,20.8571428571429,17.2857142857143,16.4285714285714,15.1428571428571,10.4285714285714,15.2857142857143,14.1428571428571,12.8571428571429,16.4285714285714,14.8571428571429,13.8571428571429,15.4285714285714,16.5714285714286,14.8333333333333,25,25.4,24,36.8571428571429,32.1428571428571,25.7142857142857,61.2857142857143,26.1428571428571,19.1428571428571,42.8571428571429,41.8571428571429,16.5714285714286,44,40.4285714285714,28.7142857142857
